sigla_curso_ref,id_cadeira,nome_cadeira,ects,periodo,metodo_avaliacao,programa,num_alunos,docentes,url_curso
DEAACPDS,3097835356553308,Seminário sobre Energia e Alterações Climáticas,4.0,2º Semestre,Trabalho em grupos de 2 alunos sobre um tema a escolher de uma lista a apresentar. O trabalho deve configurar a necessidade de um processo de investigação e terá como objectivo propor uma solução para um desafio proposto. O trabalho terá a forma de um extended abstract (6 paginas) e a forma para uma apresentação oral. Esta apresentação será decidida em função do nº de alunos (e.g. 30 alunos= 15 apresentações= 15*15 min = 3.75 horas),,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/SEAC/2025-2026/2-semestre
DEAACPDS,3097835356553273,Economia; Regulação e Mercado,5.0,2º Semestre,Ensaio de grupo sobe tema da disciplina enquadrado nas áreas científicas preferenciais dos alunos.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/ERMer/2025-2026/1-semestre
DEAACPDS,3097835356553276,Sociologia do Ambiente e Comunicação,5.0,2º Semestre,1) Ensaio individual sobre 3 (ou 4) casos/acontecimentos à escolha. Serão valorizados os ensaios que mobilizem melhor os diferentes tópicos dados nas aulas – trabalho discutido individualmente; OU  2) Ensaio individual sobre um problema relacionado com as AC’s em função dos interesses dos alunos; utilizando uma estrutura idêntica com os diversos passos que constituem uma abordagem sociológica. O trabalho será discutido individualmente.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/SACom/2025-2026/1-semestre
DEAACPDS,3097835356553272,Ciência das Alterações Climáticas,5.0,2º Semestre,Exame final individual com peso de 50% e um projecto a realizar em grupos de 2 ou 3 alunos durante o período de leccionação da disciplina e também com um peso de 50% na nota final.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/CACli/2025-2026/1-semestre
DEAACPDS,3097835356553311,Adaptação e Mitigação das Alterações Climáticas,5.0,2º Semestre,Projeto a realizar em grupos de 2 a 3 alunos durante o período de leccionação da disciplina com apresentação de um relatório suscinto do grupo com um máximo de 10 páginas e exposição oral individual incidindo sobre o tema do projecto.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/AMAC/2025-2026/2-semestre
DEAACPDS,3097835356553274,Sistemas Terrestres e Oceânicos,5.0,P3,Média ponderada da classificação do exame final (65%) e de um trabalho individual ou de um grupo de 2 alunos (35%) sobre um tema a acordar com o corpo docente. O trabalho terá a forma de um artigo de 25´000 a 30’000 caracteres; incluindo espaços (cerca de 7 páginas A4).,,1,Filipa Maria Santos Ferreira | José Manuel De Saldanha Gonçalves Matos | Rodrigo De Almada Cardoso Proença de Oliveira,https://fenix.tecnico.ulisboa.pt/disciplinas/STO/2025-2026/1-semestre
DEAACPDS,3097835356553309,Alterações Climáticas e Ordenamento de Território,5.0,2º Semestre,Módulo ACOT: (i) uma curta resenha crítica individual [30%]; (ii) um ensaio individual [70%].  Os alunos poderão discutir oralmente o ensaio individual com os responsáveis pela UC (até 20 minutos). A entrevista tem exclusivamente como objetivo discutir o ensaio individual. Não incide sobre o conjunto dos conteúdos da UC.  A classificação final será 30% da resenha crítica mais 70% da do ensaio individual ponderada pela entrevista; nos casos em que esta se concretizar por solicitação do aluno.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/ACOT/2025-2026/2-semestre
DEAACPDS,3097835356553310,Ética; Políticas Públicas e Diplomacia Ambiental,5.0,2º Semestre,1. A avaliação nesta disciplina pretende suscitar a reflexão dos alunos sobre temas centrais; que possam estabelecer algum tipo de relação com o seu projecto de dissertação de doutoramento. 2. A avaliação pretende-se aberta; podendo o aluno escolher entre: a) Exame escrito final (não presencial); ou: b) um pequeno ensaio; a combinar previamente com o docente; e que será objecto de posterior discussão com o mesmo.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/EPPDA/2025-2026/2-semestre
DEAACPDS,3097835356553275,Seminário de Ciência da Sustentabilidade e Alterações Climáticas,4.0,2º Semestre,40%: avaliação em equipe  40%: relatório escrito individual.   20% restantes da nota: serão avaliados pelos próprios alunos (na sessão final).,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/SCSAC/2025-2026/1-semestre
DEAACPDS,3097835356553307,Teorias e Práticas do Desenvolvimento Sustentável,5.0,2º Semestre,Alternativa 1 Ensaio sobre um tema prático de sustentabilidade (40% da classificação) + três testes (3x20% da classificação final) sobre três blocos de matéria (caps. 1-2; 3-5 e 6-8); a decorrer nas aulas; ao longo do semestre; estrutura dos testes: 10-15 perguntas de teste americano + 1 pergunta de desenvolvimento. Alternativa 2 Exame final,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/TPDS/2025-2026/2-semestre
DSSE,3097835356553256,Ecologia Industrial (D),6.0,2º Semestre,Desenvolvimento de um projeto de investigação e preparação de um artigo científico.,,1,Paulo Manuel Cadete Ferrão,https://fenix.tecnico.ulisboa.pt/disciplinas/EI-D/2025-2026/1-semestre
DSSE,3097835356553291,Ecologia Industrial (D),6.0,2º Semestre,Desenvolvimento de um projeto de investigação e preparação de um artigo científico.,,1,Paulo Manuel Cadete Ferrão,https://fenix.tecnico.ulisboa.pt/disciplinas/EI-D/2025-2026/2-semestre
DSSE,3097835356553295,Projeto de Tese (D),12.0,2º Semestre,Trabalho de projeto de tese; que pode ser apresentado sobre a forma de artigo. Apresentação e discussão.,,2,Paulo Manuel Cadete Ferrão,https://fenix.tecnico.ulisboa.pt/disciplinas/PT-D/2025-2026/2-semestre
DSSE,3097835356553258,Planeamento Energético,6.0,2º Semestre,Avaliação por projecto computacional individual (50%); apresentação (20%) e trabalhos de casa (30%).,,1,Carlos Augusto Santos Silva,https://fenix.tecnico.ulisboa.pt/disciplinas/PEne/2025-2026/1-semestre
DSSE,3097835356553259,Energia nos Edifícios (D),6.0,2º Semestre,Avaliação por projecto individual (80%); apresentação (20%),,2,Ricardo Manuel Anacleto Gomes,https://fenix.tecnico.ulisboa.pt/disciplinas/EE-D/2025-2026/1-semestre
DSSE,3097835356553255,Energia; Meio Ambiente e Sustentabilidade,6.0,P3,Exame final.,,4,Tania Alexandra Dos Santos Costa e Sousa | Gonçalo José Monteiro Marques | Tiago Morais Delgado Domingos | Ricardo Filipe Chorão da Silva Vieira,https://fenix.tecnico.ulisboa.pt/disciplinas/EMAS/2025-2026/1-semestre
DSSE,3097835356553260,Metodologias de Investigação (D),6.0,2º Semestre,Proposta de Investigação (50%); apresentação (20%) e trabalhos de casa (30%),,2,,https://fenix.tecnico.ulisboa.pt/disciplinas/MI-Dd)/2025-2026/1-semestre
DSSE,3097835356553293,Gestão da Procura de Energia,6.0,2º Semestre,Projeto computacional individual (70%); proposta de projeto (10%) e apresentações de projeto (20%).,,1,Susana Margarida da Silva Vieira,https://fenix.tecnico.ulisboa.pt/disciplinas/GPEnergia/2025-2026/2-semestre
DSSE,3097835356553292,Optimização de Sistemas Energéticos (D),6.0,2º Semestre,Avaliação por projecto computacional individual (70%); proposta de projecto (10%) e apresentação (20%).,,1,Susana Margarida da Silva Vieira,https://fenix.tecnico.ulisboa.pt/disciplinas/OSE-D/2025-2026/2-semestre
DSSE,3097835356553257,Economia Ecológica (D),6.0,2º Semestre,Exame final; nota m&iacute;nima de 8 valores (50%). Seis MAP5 (fichas de avalia&ccedil;&atilde;o com perguntas de escolha m&uacute;ltipla); dos quais s&atilde;o considerados os cinco melhores (50%).,,3,Tiago Morais Delgado Domingos | Ricardo Filipe De Melo Teixeira,https://fenix.tecnico.ulisboa.pt/disciplinas/EE-Dd)/2025-2026/1-semestre
DSSE,3097835356553290,Gestão de Energia na Indústria,6.0,2º Semestre,Avaliação contínua (100%): questionários Kahoot nas aulas teóricas (20%) e trabalho de grupo com apresentação oral (80%).,,1,Tania Alexandra Dos Santos Costa e Sousa,https://fenix.tecnico.ulisboa.pt/disciplinas/GEInd/2025-2026/2-semestre
DSSE,3097835356553254,Recursos Energéticos Renováveis e Conversão de Energia,6.0,2º Semestre,Avaliação por projecto computacional em grupos de 2 (50%); e exame (50%),,0,Rui Manuel Gameiro de Castro,https://fenix.tecnico.ulisboa.pt/disciplinas/RERCE/2025-2026/1-semestre
DSSE,3097835356553294,Inovação e Empreendedorismo (D),6.0,2º Semestre,Aulas teórico-prácticas com exposição oral; análise de estudos de caso e resolução de exercícios práticos  (maioritariamente em equipa). A experiência de aprendizagem é enriquecida com oradores convidados e visitas de campo (incubadora; etc.).  Tipo de Avaliação: Avaliação distribuída sem exame final,,2,Rui Miguel Loureiro Nobre Baptista,https://fenix.tecnico.ulisboa.pt/disciplinas/IE-D/2025-2026/2-semestre
